Unnamed: 0,번호,제목,저자,출판사,출판일
,1,Does working with the Veder Contact Method influence the job satisfaction of caregivers? A non-randomized controlled trial in nursing homes for people with dementia,"Boersma,  P.; Dröes,  R. M.; Lissenberg-Witte,  B. I.; van Meijel,  B.; van Weert,  J. C. M.",Cambridge University Press,2017
,2,Technological disruption and employment: The influence on job insecurity and turnover intentions: A multi-country study,"Brougham, David; Haar, Jarrod","Elsevier Science B.V., Amsterdam.",2020
,3,Affective well-being and within-day beliefs about job demands' influence on work performance: An experience sampling study,"Daniels, K.; Wimalasiri, V.; Beesley, N.; Cheyne, A.",THE BRITISH PSYCHOLOGICAL SOCIETY,2012
,4,Commitment to Social Justice and its Influence on Job Satisfaction and Retention of Nonprofit Middle Managers,"Vincent, David; Marmo, Suzanne",Taylor and Francis,2018
,5,Salesperson Perceptions of Ethical Behaviors: Their Influence on Job  Satisfaction and Turnover Intentions,"Pettijohn, C.; Pettijohn, L.; Taylor, A. J.",Springer Science + Business Media,2008
,6,Expatriate success and thriving: The influence of job deprivation and emotional stability,"Ren, H.; Yunlu, D. G.; Shaffer, M.; Fodchuk, K. M.","Elsevier Science B.V., Amsterdam.",2015
,7,"A fine balance: understanding the influence of job, school and personal characteristics in predicting academic and job satisfaction amongst non-traditional students","Gopalan, Neena; Goodman, Suki; Hardy, Anneli; Jacobs, Carla",Taylor & Francis,2019
,8,Police and their perceived image: how community influence officers' job satisfaction,"Yim, Y.; Schafer, B.",Taylor & Francis,2009
,9,Understanding teleworkers' technostress and its influence on job satisfaction,"Suh, Ayoung; Lee, Jumin",Emerald Group Publishing Limited,2017
,10,Does career timing of challenging job assignments influence the relationship with in-role job performance?,"Carette, B.; Anseel, F.; Lievens, F.","Elsevier Science B.V., Amsterdam",2013
,11,How control and commitment HR practices influence employee job crafting,"Hu, Bin; McCune Stein, Aaron; Mao, Yanhua",Emerald Group Publishing Limited,2020
,12,An integrative review of the influence of job strain and coping on nurses' work performance: Understanding the gaps in oncology nursing research,"Wazqar, Dhuha Youssef; Kerr, Mickey; Regan, Sandra; Orchard, Carole",Elsevier Science B.V. Amsterdam,2017
,13,"How HR practice, work engagement and job crafting influence employee performance","Guan, Xiaoyu; Frenkel, Stephen",Emerald Group Publishing,2018
,14,"Taking the pulse of UK construction project managers' health: Influence of job demands, job control and social support on psychological wellbeing","Love, P. E.; Edwards, D. J.",Emerald Group Publishing Limited,2005
,15,Self-leadership behavioural-focused strategies and team performance: The mediating influence of job satisfaction,"Politis, J. D.",Emerald Group Publishing Limited,2006
,16,The Impact of the Worker: How Social Capital and Human Capital Influence the Job Tenure of Formerly Undocumented Mexican Immigrants,"Aguilera, M. B.",UNIVERSITY OF TEXAS PRESS,2003
,17,Symptoms of burnout and service recovery performance: The influence of job resourcefulness,"Rod, M.; Ashill, N. J.",Emerald Group Publishing Limited,2009
,18,Retaining Public Health Nurses in Rural British Columbia: The Influence of Job and Community Satisfaction,"Betkus, M. H.; MacLeod, M. L. P.",CANADIAN PUBLIC HEALTH ASSOCIATION,2004
,19,The mediating effect of work motivation on the influence of job design and organizational culture against HR performance,"Al-Musadieq, Muhammad; , Nurjannah; Raharjo, Kusdi; Solimun, Solimun; Achmad Rinaldo Fernandes, Adji",Emerald Group Publishing Limited,2018
,20,A change of name or a change of identity? Do job titles influence people management professionals' perceptions of their role in managing change?,"Caldwell, R.",MCB UNIVERSITY PRESS,2002
,21,How to keep teachers healthy and growing: the influence of job demands and resources,"Evers, Arnoud T.; Yamkovenko, Bogdan; Van Amersfoort, Daniël",Emerald,2017
,22,Does Emphasizing Different Types of Person–Environment Fit in Online Job Ads Influence Application Behavior and Applicant Quality? Evidence from a Field Experiment,"Schmidt, J. A.; Chapman, D. S.; Jones, D. A.",Springer Science + Business Media,2015
,23,Impact of ethical leadership on organizational climate and its subsequent influence on job commitment: a study in hospital context,"Mishra, Bhanu; Tikoria, Jyoti",Emerald Group Publishing Limited,2021
,24,Quality of work life of Emirati women and its influence on job satisfaction and turnover intention,"Jabeen, Fauzia; Friesen, Heather Lynn; Ghoudi, Kilani",Emerald Group Publishing Limited,2018
,25,Customer Service Responsiveness in Logistics Outsourcing Contracts: The Influence of Job Autonomy and Role Clarity among On-site Representatives,"Bolumole,  Yemisi A.; Grawe,  Scott J.; Daugherty,  Patricia J.",AMERICAN SOCIETY TRANSPORTATION AND LOGISTICS,2016
,26,"Attitudes Toward Men in Notraditional Gender Roles: A Path Analysis of the Causal Influence of Job Status, Tenure, Level of Education and Race","Tony-Adams, A.",PSYCHOLOGY,1999
,27,Influenza influence: Pharmacy's new job on the flu jab,unknown,AUSTRALIAN PHARMACEUTICAL PUBLISHING CO LTD,2006
,28,"Leardership, Job Perceptions, and Influence: A Conceptual Integration",Gerald R. Ferris; Kendrith M. Rowland,Plenum Press,1981
,29,A respectable job: Factors which influence young Asians' choice of career,"Lightbody, Pauline",Careers Research and Advisory Centre,1997
,30,"""Coaching soccer is a man's job!"" – The influence of gender stereotypes on structures for recruiting female coaches to soccer clubs","Schlesinger, Torsten; Weigelt-Schlesinger, Yvonne",Taylor & Francis,2013
,31,"Erratum: ""Mothers and Fathers in the Workplace: How Gender and Parental Status Influence Judgments of Job-Related Competence""",unknown,Blackwell Publishing Ltd,2005
,32,Mothers and Fathers in the Workplace: How Gender and Parental Status Influence Judgments of Job-Related Competence,"Fuegen, K.; Biernat, M.; Haines, E.; Deaux, K.",Blackwell Publishing Ltd,2004
,33,On-the-Job and Off-the-Job Embeddedness Differentially Influence Relationships Between Informal Job Search and Turnover,"Porter, Caitlin M.; Posthuma, Richard A.; Maertz, Carl P.; Joplin, Janice R. W.; Rigby, James; Gordon, Mary; Graves, Krisanne",APA AMERICAN PSYCHOLOGICAL ASSOCIATION,2019
,34,"The Influence of Individual, Job, and Organizational Characteristics on Correctional Staff Job Stress, Job Satisfaction, and Organizational Commitment","Lambert, E.G.; Paoline, E.A.","COLLEGE OF HEALTH &amp; HUMAN SCIENCES, GEORGIA STATE UNIV",2008
,35,Job insecurity climate's influence on employees' job attitudes: Evidence from two European countries,"Sora, B.; Caballer, A.; Peiro, J.; de Witte, H.",PSYCHOLOGY PRESS,2008
,36,Job Characteristics That Influence the Career Success of Soldiers in the South African National Defence Force: An Analytical Review,"Ditsela, Nondlela; Van Dyk, Gideon",Taylor & Francis,2013
